,sct,year,capitaux_propres,passifs_non_courant,total_bilan,stock,creance_client,actif_immobilier,resultat_net,chiffre_d_affaires
195,TUNISIE LEASING ET FACTORING,2018,369077807.0,1685626507.0,2473230782.0,0.0,2002779001.0,146068107.0,12869790.0,93444353.675845
196,TUNISIE LEASING ET FACTORING,2019,386961144.0,1626071716.0,2393671839.0,0.0,1854936693.0,157241554.0,11127817.0,30880422.6427
197,UADH,2017,84685717.0,35562451.0,450204921.0,107017632.0,27735921.0,141019089.0,654678.0,8318355.260022
198,UBCI,2017,316329000.0,2925939000.0,3467815000.0,0.0,2562111000.0,45121000.0,31617000.0,259983223.632
199,UBCI,2018,361663000.0,3519687000.0,3887911000.0,0.0,2754819000.0,42083000.0,51231000.0,60302588.004351
200,UBCI,2019,407049000.0,3161679000.0,3572485000.0,0.0,2570431000.0,39525000.0,57402000.0,194406504.467
201,UIB,2017,476811000.0,5014988000.0,5494725000.0,0.0,4938259000.0,45445000.0,86126000.0,241157848.582
202,UIB,2018,563819000.0,5572539000.0,6139071000.0,0.0,5333398000.0,49212000.0,109357000.0,110311254.036768
203,UIB,2019,656066000.0,5671035000.0,6329742000.0,0.0,5498764000.0,64488000.0,116307000.0,116319276.472356
204,UNIMED,2017,82622654.0,4956516.0,101764019.0,22491634.0,15076888.0,48894637.0,12532575.0,20240646.871085
205,UNIMED,2018,93439569.0,16911489.0,132087929.0,33996901.0,17837410.0,62127584.0,18359678.0,34236652.9685
206,UNIMED,2019,100086670.0,27204327.0,149607872.0,37640645.0,16212298.0,75568504.0,17692251.0,19183090.838065
207,WIFACK INTERNATIONAL BANK,2017,170687632.0,76784431.0,401852577.0,0.0,254166818.0,56936418.0,-1654573.0,66139160.939
208,WIFACK INTERNATIONAL BANK,2018,184339984.0,48401104.0,629172655.0,0.0,402424166.0,59350922.0,-1779373.0,69343011.449
209,WIFACK INTERNATIONAL BANK,2019,161252330.0,36942131.0,621341536.0,0.0,401559497.0,58651513.0,-21878510.0,35694663.218929
